hsa-let-7a,10
hsa-let-7a*,3
hsa-let-7b,9
hsa-let-7c,9
hsa-let-7d,3
hsa-let-7e,6
hsa-let-7f,3
hsa-let-7g,3
hsa-let-7i,3
hsa-mir-1,9
hsa-mir-100,3
hsa-mir-101,3
hsa-mir-106b,7
hsa-mir-107,3
hsa-mir-10a,9
hsa-mir-10b,3
hsa-mir-1182,1
hsa-mir-122,10
hsa-mir-122*,3
hsa-mir-1224-5p,5
hsa-mir-1229,1
hsa-mir-1231,9
hsa-mir-1245,1
hsa-mir-1246,1
hsa-mir-1254,3
hsa-mir-125b,8
hsa-mir-125b-2*,7
hsa-mir-126,7
hsa-mir-1260,9
hsa-mir-1268,10
hsa-mir-127-3p,3
hsa-mir-1275,3
hsa-mir-128,3
hsa-mir-1280,10
hsa-mir-1284,1
hsa-mir-1285,6
hsa-mir-1288,3
hsa-mir-129-5p,3
hsa-mir-1290,3
hsa-mir-1295,1
hsa-mir-1304,3
hsa-mir-130a*,3
hsa-mir-130b,10
hsa-mir-1323,1
hsa-mir-133a,3
hsa-mir-133b,3
hsa-mir-134,3
hsa-mir-138,3
hsa-mir-138-2*,3
hsa-mir-139-3p,1
hsa-mir-139-5p,1
hsa-mir-140-3p,3
hsa-mir-141,9
hsa-mir-142-3p,3
hsa-mir-143,5
hsa-mir-144,2
hsa-mir-145,10
hsa-mir-146a,3
hsa-mir-146b-3p,3
hsa-mir-146b-5p,3
hsa-mir-148a,3
hsa-mir-148b,3
hsa-mir-150,3
hsa-mir-150*,9
hsa-mir-151-5p,3
hsa-mir-152,3
hsa-mir-155,3
hsa-mir-15a,3
hsa-mir-15b,10
hsa-mir-15b*,3
hsa-mir-16,10
hsa-mir-16-2*,3
hsa-mir-17,3
hsa-mir-181a,10
hsa-mir-181a-2*,3
hsa-mir-181b,3
hsa-mir-181d,7
hsa-mir-182,3
hsa-mir-1825,3
hsa-mir-183,3
hsa-mir-184,1
hsa-mir-185,3
hsa-mir-186,3
hsa-mir-187,1
hsa-mir-187*,3
hsa-mir-18a,3
hsa-mir-18b,1
hsa-mir-18b*,1
hsa-mir-190b,3
hsa-mir-191,8
hsa-mir-192,10
hsa-mir-193a-3p,3
hsa-mir-193b,6
hsa-mir-194,10
hsa-mir-195,3
hsa-mir-196a,10
hsa-mir-196b,4
hsa-mir-197,3
hsa-mir-198,9
hsa-mir-199a-3p,10
hsa-mir-199a-5p,3
hsa-mir-19a,4
hsa-mir-19b,9
hsa-mir-200a,3
hsa-mir-200b,6
hsa-mir-200c,10
hsa-mir-202,10
hsa-mir-203,10
hsa-mir-205,10
hsa-mir-206,3
hsa-mir-20a,10
hsa-mir-20b,3
hsa-mir-21,3
hsa-mir-210,3
hsa-mir-212,1
hsa-mir-214,8
hsa-mir-215,3
hsa-mir-218,9
hsa-mir-22,3
hsa-mir-221,2
hsa-mir-222,3
hsa-mir-223,3
hsa-mir-23a,3
hsa-mir-23b,10
hsa-mir-24,4
hsa-mir-25,3
hsa-mir-26a,3
hsa-mir-26b,10
hsa-mir-27a,3
hsa-mir-27b,3
hsa-mir-296-5p,3
hsa-mir-298,1
hsa-mir-299-5p,3
hsa-mir-29a,1
hsa-mir-29b,1
hsa-mir-29c,5
hsa-mir-301a,2
hsa-mir-302b,8
hsa-mir-30a,3
hsa-mir-30b,1
hsa-mir-30c,3
hsa-mir-30c-1*,3
hsa-mir-30d,4
hsa-mir-30e,3
hsa-mir-31,3
hsa-mir-32,3
hsa-mir-320a,10
hsa-mir-320c,4
hsa-mir-320d,3
hsa-mir-324-3p,3
hsa-mir-326,3
hsa-mir-328,1
hsa-mir-331-3p,3
hsa-mir-335,1
hsa-mir-338-3p,2
hsa-mir-338-5p,1
hsa-mir-339-3p,3
hsa-mir-339-5p,1
hsa-mir-340*,1
hsa-mir-342-3p,3
hsa-mir-345,4
hsa-mir-346,3
hsa-mir-34a,3
hsa-mir-34b,2
hsa-mir-361-3p,3
hsa-mir-365,1
hsa-mir-371-5p,3
hsa-mir-372,3
hsa-mir-373,1
hsa-mir-375,10
hsa-mir-376a,1
hsa-mir-376c,1
hsa-mir-377,3
hsa-mir-378,3
hsa-mir-378*,3
hsa-mir-379,2
hsa-mir-382,3
hsa-mir-409-3p,1
hsa-mir-409-5p,1
hsa-mir-410,1
hsa-mir-411,3
hsa-mir-421,3
hsa-mir-423-5p,10
hsa-mir-425,3
hsa-mir-425*,3
hsa-mir-429,1
hsa-mir-431,2
hsa-mir-431*,1
hsa-mir-432,9
hsa-mir-451,3
hsa-mir-452,3
hsa-mir-454,9
hsa-mir-454*,1
hsa-mir-483-3p,1
hsa-mir-483-5p,3
hsa-mir-484,7
hsa-mir-486-3p,3
hsa-mir-486-5p,1
hsa-mir-487b,3
hsa-mir-493,9
hsa-mir-494,10
hsa-mir-497,3
hsa-mir-502-5p,3
hsa-mir-504,3
hsa-mir-513a-3p,3
hsa-mir-516b,1
hsa-mir-518b,2
hsa-mir-520a-3p,3
hsa-mir-548b-5p,1
hsa-mir-557,9
hsa-mir-564,1
hsa-mir-566,3
hsa-mir-571,10
hsa-mir-574-3p,10
hsa-mir-574-5p,10
hsa-mir-587,3
hsa-mir-589,1
hsa-mir-595,9
hsa-mir-601,3
hsa-mir-616*,4
hsa-mir-618,3
hsa-mir-622,3
hsa-mir-625,4
hsa-mir-625*,7
hsa-mir-628-3p,3
hsa-mir-629,3
hsa-mir-630,1
hsa-mir-638,9
hsa-mir-646,10
hsa-mir-650,1
hsa-mir-652,3
hsa-mir-654-3p,1
hsa-mir-656,3
hsa-mir-668,1
hsa-mir-675,1
hsa-mir-7,1
hsa-mir-708,10
hsa-mir-744,3
hsa-mir-744*,1
hsa-mir-760,3
hsa-mir-874,6
hsa-mir-885-5p,6
hsa-mir-922,9
hsa-mir-92a,9
hsa-mir-92a-2*,10
hsa-mir-92b,10
hsa-mir-93,3
hsa-mir-93*,10
hsa-mir-936,3
hsa-mir-939,3
hsa-mir-942,1
hsa-mir-99a,3
hsa-mir-99b,5
