feature,frequencyInTop102
hsa-miR-1290,8.0
hsa-miR-361-3p,8.0
hsa-miR-193b,8.0
hsa-miR-145,8.0
hsa-miR-630,8.0
hsa-miR-1231,8.0
hsa-miR-429,8.0
hsa-miR-378,8.0
hsa-miR-218,8.0
hsa-miR-452,8.0
hsa-miR-342-3p,7.9
hsa-miR-223,7.9
hsa-miR-574-3p,7.8
hsa-miR-186,7.8
hsa-miR-30c-1*,7.8
hsa-miR-34b,7.8
hsa-miR-20a,7.7
hsa-miR-425*,7.7
hsa-miR-299-5p,7.7
hsa-miR-375,7.7
hsa-miR-1246,7.7
hsa-miR-302b,7.7
hsa-miR-1280,7.6
hsa-miR-150*,7.6
hsa-miR-483-3p,7.6
hsa-miR-200a,7.6
hsa-miR-30e,7.5
hsa-miR-138,7.5
hsa-miR-139-3p,7.5
hsa-miR-221,7.5
hsa-miR-148b,7.5
hsa-miR-1304,7.5
hsa-miR-1224-5p,7.4
hsa-miR-338-5p,7.3
hsa-miR-410,7.2
hsa-miR-1295,7.2
hsa-miR-601,7.2
hsa-miR-130b,7.2
hsa-miR-378*,7.1
hsa-miR-222,7.0
hsa-miR-483-5p,7.0
hsa-miR-185,7.0
hsa-miR-616*,7.0
hsa-miR-638,7.0
hsa-miR-625,7.0
hsa-miR-622,6.9
hsa-miR-1275,6.9
hsa-miR-494,6.8
hsa-miR-23b,6.8
hsa-miR-376c,6.8
hsa-miR-382,6.8
hsa-miR-130a*,6.8
hsa-miR-99b,6.7
hsa-let-7e,6.7
hsa-miR-513a-3p,6.7
hsa-miR-30a,6.6
hsa-miR-15a,6.6
hsa-miR-192,6.6
hsa-miR-126,6.5
hsa-miR-101,6.5
hsa-miR-431,6.5
hsa-miR-654-3p,6.5
hsa-miR-493,6.5
hsa-miR-203,6.4
hsa-miR-335,6.4
hsa-miR-187,6.4
hsa-miR-486-3p,6.4
hsa-miR-423-5p,6.3
hsa-miR-187*,6.3
hsa-miR-922,6.3
hsa-miR-548b-5p,6.3
hsa-miR-138-2*,6.3
hsa-miR-18b*,6.2
hsa-miR-200c,6.2
hsa-miR-650,6.2
hsa-miR-7,6.2
hsa-miR-1,6.2
hsa-miR-134,6.2
hsa-miR-1825,6.1
hsa-miR-331-3p,6.1
hsa-miR-595,6.0
hsa-miR-196b,6.0
hsa-miR-206,6.0
hsa-miR-194,5.9
hsa-miR-1229,5.9
hsa-miR-376a,5.9
hsa-miR-371-5p,5.8
hsa-miR-142-3p,5.8
hsa-miR-10a,5.7
hsa-miR-150,5.7
hsa-miR-196a,5.7
hsa-miR-143,5.6
hsa-miR-379,5.6
hsa-miR-125b,5.6
hsa-miR-760,5.6
hsa-miR-320c,5.5
hsa-miR-32,5.5
hsa-miR-181a,5.5
hsa-miR-27a,5.5
hsa-miR-328,5.4
hsa-miR-618,5.4
hsa-miR-345,5.4
