hsa-let-7a,10
hsa-let-7b,1
hsa-let-7e,9
hsa-mir-106b,6
hsa-mir-122,10
hsa-mir-125b,3
hsa-mir-1268,7
hsa-mir-1280,10
hsa-mir-1288,2
hsa-mir-130b,3
hsa-mir-142-3p,2
hsa-mir-145,10
hsa-mir-15b,2
hsa-mir-16,10
hsa-mir-194,4
hsa-mir-19b,10
hsa-mir-200c,10
hsa-mir-203,2
hsa-mir-205,10
hsa-mir-20a,8
hsa-mir-23b,5
hsa-mir-302b,5
hsa-mir-30d,3
hsa-mir-320a,10
hsa-mir-375,10
hsa-mir-378,2
hsa-mir-423-5p,10
hsa-mir-571,7
hsa-mir-574-3p,10
hsa-mir-574-5p,7
hsa-mir-625*,10
hsa-mir-646,7
hsa-mir-708,3
hsa-mir-744,9
hsa-mir-922,10
hsa-mir-92b,3
