feature,frequencyInTop40
hsa-miR-299-5p,8.0
hsa-miR-378*,8.0
hsa-miR-630,8.0
hsa-miR-218,8.0
hsa-miR-1290,7.9
hsa-miR-452,7.9
hsa-miR-302b,7.8
hsa-miR-574-3p,7.7
hsa-miR-1231,7.7
hsa-miR-34b,7.7
hsa-miR-223,7.7
hsa-miR-616*,7.6
hsa-miR-483-3p,7.6
hsa-miR-375,7.5
hsa-miR-1295,7.5
hsa-miR-145,7.4
hsa-miR-342-3p,7.4
hsa-miR-429,7.4
hsa-miR-193b,6.9
hsa-miR-130a*,6.9
hsa-miR-378,6.7
hsa-miR-1246,6.7
hsa-miR-338-5p,6.7
hsa-miR-382,6.6
hsa-miR-493,6.5
hsa-miR-331-3p,6.4
hsa-miR-221,6.2
hsa-miR-200c,6.1
hsa-miR-425*,6.0
hsa-miR-187*,6.0
hsa-miR-361-3p,5.9
hsa-miR-1275,5.9
hsa-miR-30c-1*,5.8
hsa-miR-622,5.6
hsa-miR-486-3p,5.5
hsa-miR-23b,5.4
hsa-miR-20a,5.3
hsa-miR-296-5p,5.3
hsa-miR-1280,5.2
hsa-miR-186,5.2
