feature,frequencyInTop51
hsa-mir-122,8.0
hsa-mir-375,8.0
hsa-mir-205,8.0
hsa-mir-192,8.0
hsa-mir-708,8.0
hsa-mir-26b,8.0
hsa-mir-574-3p,7.9
hsa-mir-130b,7.8
hsa-mir-92b,7.7
hsa-mir-16,7.6
hsa-mir-203,7.6
hsa-let-7a,7.5
hsa-mir-1280,7.5
hsa-mir-92a-2*,7.5
hsa-mir-145,7.5
hsa-mir-200c,7.4
hsa-mir-423-5p,7.3
hsa-mir-574-5p,7.3
hsa-mir-23b,7.3
hsa-mir-194,7.2
hsa-mir-181a,7.2
hsa-mir-218,7.2
hsa-mir-202,7.1
hsa-mir-320a,7.1
hsa-mir-494,7.0
hsa-mir-646,7.0
hsa-mir-15b,6.9
hsa-mir-595,6.9
hsa-mir-1,6.9
hsa-mir-196a,6.9
hsa-mir-493,6.6
hsa-mir-143,6.5
hsa-mir-557,6.4
hsa-mir-141,6.4
hsa-mir-1268,6.3
hsa-mir-454,6.0
hsa-let-7b,6.0
hsa-mir-571,5.8
hsa-mir-93*,5.8
hsa-mir-92a,5.8
hsa-mir-20a,5.8
hsa-mir-874,5.7
hsa-let-7c,5.7
hsa-mir-922,5.7
hsa-mir-10a,5.6
hsa-mir-125b,5.6
hsa-mir-199a-3p,5.6
hsa-mir-1260,5.5
hsa-mir-19b,5.5
hsa-mir-432,5.4
hsa-mir-638,5.3
