feature,frequencyInTop64
hsa-mir-205,8.0
hsa-mir-122,8.0
hsa-mir-375,8.0
hsa-let-7e,8.0
hsa-mir-145,8.0
hsa-mir-196a,8.0
hsa-mir-200c,8.0
hsa-mir-638,8.0
hsa-mir-192,8.0
hsa-mir-922,8.0
hsa-mir-423-5p,8.0
hsa-let-7a,8.0
hsa-mir-625*,8.0
hsa-mir-574-5p,8.0
hsa-mir-1268,8.0
hsa-mir-574-3p,8.0
hsa-mir-92b,8.0
hsa-mir-571,8.0
hsa-mir-20a,8.0
hsa-mir-23b,8.0
hsa-mir-646,8.0
hsa-mir-708,8.0
hsa-mir-130b,8.0
hsa-mir-93*,8.0
hsa-mir-142-3p,8.0
hsa-mir-203,8.0
hsa-mir-1288,8.0
hsa-mir-193b,8.0
hsa-mir-19b,8.0
hsa-mir-1280,8.0
hsa-mir-320a,8.0
hsa-let-7b,8.0
hsa-mir-15b,8.0
hsa-mir-194,8.0
hsa-mir-302b,8.0
hsa-mir-200b,8.0
hsa-mir-126,8.0
hsa-mir-378,8.0
hsa-mir-214,8.0
hsa-mir-320c,8.0
hsa-mir-106b,8.0
hsa-mir-494,8.0
hsa-mir-744,8.0
hsa-mir-16,8.0
hsa-mir-202,8.0
hsa-mir-138,8.0
hsa-mir-425*,8.0
hsa-mir-1275,8.0
hsa-mir-125b,8.0
hsa-mir-566,8.0
hsa-mir-32,7.2
hsa-mir-215,7.2
hsa-let-7c,7.2
hsa-mir-513a-3p,7.2
hsa-mir-181a,7.2
hsa-mir-30d,7.2
hsa-mir-452,7.2
hsa-mir-1285,6.4
hsa-mir-198,6.4
hsa-mir-223,6.4
hsa-mir-185,6.4
hsa-mir-210,6.4
hsa-mir-451,5.6
hsa-mir-148a,4.8
